"word"	"freq"	"probability"
"1"	"the "	23155	0.0442821435196607
"2"	"to "	14607	0.0279347557932059
"3"	"and "	13391	0.0256092500052592
"4"	"i "	12889	0.0246492138987219
"5"	"a "	12392	0.0236987399047996
"6"	"of "	10497	0.0200746992237477
"7"	"in "	7871	0.0150526776783956
"8"	"is "	6178	0.0118149463469861
"9"	"that "	5899	0.011281380463074
"10"	"you "	5876	0.0112373947450454
"11"	"for "	5604	0.0107172158187941
"12"	"it "	5505	0.0105278859890189
"13"	"my "	4271	0.00816795659565842
"14"	"on "	4140	0.00791742924514771
"15"	"with "	3785	0.0072385192494889
"16"	"was "	3434	0.00656725894392203
"17"	"this "	3431	0.00656152167635309
"18"	"have "	3108	0.00594380920142973
"19"	"be "	3101	0.00593042224376885
"20"	"are "	2737	0.00523430044540321
"21"	"at "	2630	0.00502967123544407
"22"	"as "	2581	0.00493596253181793
"23"	"but "	2578	0.00493022526424898
"24"	"so "	2546	0.00486902774351354
"25"	"we "	2495	0.00477149419484143
"26"	"me "	2402	0.00459363890020406
"27"	"not "	2278	0.00435649850735422
"28"	"all "	2142	0.0040964090442286
"29"	"your "	1974	0.00377512206036753
"30"	"from "	1909	0.00365081459637366
"31"	"or "	1898	0.00362977794862086
"32"	"he "	1830	0.00349973321705804
"33"	"just "	1786	0.00341558662604681
"34"	"they "	1780	0.00340411209090892
"35"	"up "	1686	0.00322434437374856
"36"	"one "	1685	0.00322243195122558
"37"	"if "	1634	0.00312489840255347
"38"	"will "	1634	0.00312489840255347
"39"	"what "	1628	0.00311342386741557
"40"	"like "	1610	0.00307900026200189
"41"	"out "	1603	0.00306561330434101
"42"	"about "	1596	0.00305222634668013
"43"	"do "	1575	0.0030120654736975
"44"	"by "	1541	0.00294704310791609
"45"	"can "	1505	0.00287819589708872
"46"	"an "	1463	0.00279787415112345
"47"	"when "	1452	0.00277683750337064
"48"	"time "	1342	0.00256647102584257
"49"	"his "	1339	0.00256073375827362
"50"	"has "	1324	0.00253204742042888
"51"	"more "	1318	0.00252057288529098
"52"	"get "	1268	0.00242495175914186
"53"	"had "	1258	0.00240582753391203
"54"	"her "	1209	0.00231211883028589
"55"	"there "	1208	0.00231020640776291
"56"	"would "	1173	0.00224327161945852
"57"	"some "	1131	0.00216294987349325
"58"	"who "	1113	0.00212852626807956
"59"	"m "	1100	0.00210366477528079
"60"	"no "	1094	0.0020921902401429
"61"	"she "	1085	0.00207497843743605
"62"	"our "	1076	0.00205776663472921
"63"	"know "	1060	0.00202716787436149
"64"	"how "	1056	0.00201951818426956
"65"	"now "	1054	0.00201569333922359
"66"	"them "	1026	0.00196214550858008
"67"	"their "	1020	0.00195067097344219
"68"	"been "	1017	0.00194493370587324
"69"	"love "	995	0.00190286041036763
"70"	"new "	971	0.00185696226981604
"71"	"day "	951	0.00181871381935639
"72"	"good "	899	0.0017192678481613
"73"	"people "	856	0.00163703367967305
"74"	"its "	852	0.00162938398958112
"75"	"were "	851	0.00162747156705814
"76"	"go "	834	0.00159496038416744
"77"	"back "	814	0.00155671193370779
"78"	"it's "	807	0.00154332497604691
"79"	"into "	791	0.00151272621567919
"80"	"then "	772	0.00147639018774252
"81"	"only "	771	0.00147447776521954
"82"	"make "	765	0.00146300323008164
"83"	"see "	764	0.00146109080755866
"84"	"which "	762	0.00145726596251269
"85"	"over "	739	0.0014132802444841
"86"	"much "	737	0.00140945539943813
"87"	"well "	724	0.00138459390663936
"88"	"think "	723	0.00138268148411637
"89"	"great "	719	0.00137503179402444
"90"	"really "	711	0.00135973241384058
"91"	"am "	700	0.00133869576608778
"92"	"us "	700	0.00133869576608778
"93"	"first "	697	0.00133295849851883
"94"	"very "	690	0.00131957154085795
"95"	"other "	690	0.00131957154085795
"96"	"than "	690	0.00131957154085795
"97"	"because "	690	0.00131957154085795
"98"	"going "	678	0.00129662247058216
"99"	"him "	664	0.0012698485552604
"100"	"way "	661	0.00126411128769146
"101"	"too "	654	0.00125072433003058
"102"	"don't "	651	0.00124498706246163
"103"	"even "	634	0.00121247587957093
"104"	"here "	627	0.00119908892191005
"105"	"also "	624	0.0011933516543411
"106"	"did "	602	0.00115127835883549
"107"	"work "	599	0.00114554109126654
"108"	"after "	597	0.00114171624622058
"109"	"need "	592	0.00113215413360566
"110"	"could "	589	0.00112641686603671
"111"	"want "	588	0.00112450444351373
"112"	"any "	577	0.00110346779576092
"113"	"still "	575	0.00109964295071496
"114"	"today "	566	0.00108243114800812
"115"	"got "	561	0.0010728690353932
"116"	"right "	561	0.0010728690353932
"117"	"off "	560	0.00107095661287022
"118"	"where "	545	0.00104227027502548
"119"	"two "	542	0.00103653300745654
"120"	"most "	538	0.00102888331736461
"121"	"these "	536	0.00102505847231864
"122"	"little "	535	0.00102314604979566
"123"	"being "	535	0.00102314604979566
"124"	"life "	529	0.00101167151465776
"125"	"thanks "	523	0.00100019697951987
"126"	"say "	515	0.000984897599336007
"127"	"last "	512	0.000979160331767059
"128"	"things "	504	0.000963860951583199
"129"	"down "	503	0.000961948529060216
"130"	"year "	497	0.000950473993922321
"131"	"those "	496	0.000948561571399339
"132"	"why "	480	0.000917962811031618
"133"	"take "	473	0.00090457585337074
"134"	"should "	473	0.00090457585337074
"135"	"never "	472	0.000902663430847758
"136"	"many "	469	0.00089692616327881
"137"	"something "	468	0.000895013740755828
"138"	"rt "	468	0.000895013740755828
"139"	"always "	460	0.000879714360571967
"140"	"while "	459	0.000877801938048985
"141"	"made "	456	0.000872064670480037
"142"	"u "	450	0.000860590135342142
"143"	"come "	447	0.000854852867773194
"144"	"week "	439	0.000839553487589334
"145"	"through "	433	0.000828078952451439
"146"	"home "	431	0.000824254107405474
"147"	"before "	431	0.000824254107405474
"148"	"best "	431	0.000824254107405474
"149"	"may "	428	0.000818516839836526
"150"	"said "	418	0.000799392614606701
"151"	"im "	412	0.000787918079468806
"152"	"few "	407	0.000778355966853893
"153"	"next "	404	0.000772618699284945
"154"	"look "	403	0.000770706276761963
"155"	"happy "	401	0.000766881431715998
"156"	"night "	400	0.000764969009193015
"157"	"book "	400	0.000764969009193015
"158"	"lol "	397	0.000759231741624067
"159"	"around "	393	0.000751582051532137
"160"	"long "	388	0.000742019938917225
"161"	"feel "	381	0.000728632981256347
"162"	"years "	379	0.000724808136210382
"163"	"dont "	378	0.000722895713687399
"164"	"every "	376	0.000719070868641434
"165"	"again "	374	0.000715246023595469
"166"	"world "	368	0.000703771488457574
"167"	"old "	368	0.000703771488457574
"168"	"man "	366	0.000699946643411609
"169"	"use "	366	0.000699946643411609
"170"	"can't "	356	0.000680822418181783
"171"	"another "	356	0.000680822418181783
"172"	"s "	347	0.000663610615474941
"173"	"thing "	345	0.000659785770428975
"174"	"ll "	342	0.000654048502860028
"175"	"ever "	339	0.00064831123529108
"176"	"d "	336	0.000642573967722133
"177"	"let "	331	0.00063301185510722
"178"	"days "	330	0.000631099432584237
"179"	"hope "	328	0.000627274587538272
"180"	"find "	328	0.000627274587538272
"181"	"better "	328	0.000627274587538272
"182"	"same "	326	0.000623449742492307
"183"	"own "	325	0.000621537319969325
"184"	"show "	325	0.000621537319969325
"185"	"sure "	322	0.000615800052400377
"186"	"place "	320	0.000611975207354412
"187"	"ve "	319	0.00061006278483143
"188"	"doing "	319	0.00061006278483143
"189"	"since "	309	0.000590938559601604
"190"	"follow "	303	0.000579464024463709
"191"	"each "	300	0.000573726756894761
"192"	"until "	300	0.000573726756894761
"193"	"such "	300	0.000573726756894761
"194"	"help "	299	0.000571814334371779
"195"	"does "	298	0.000569901911848796
"196"	"looking "	296	0.000566077066802831
"197"	"getting "	294	0.000562252221756866
"198"	"though "	292	0.000558427376710901
"199"	"thank "	292	0.000558427376710901
"200"	"thought "	290	0.000554602531664936
"201"	"oh "	285	0.000545040419050023
"202"	"yes "	282	0.000539303151481076
"203"	"read "	281	0.000537390728958093
"204"	"give "	281	0.000537390728958093
"205"	"actually "	278	0.000531653461389146
"206"	"away "	277	0.000529741038866163
"207"	"free "	276	0.00052782861634318
"208"	"having "	273	0.000522091348774233
"209"	"part "	273	0.000522091348774233
"210"	"tonight "	272	0.00052017892625125
"211"	"big "	271	0.000518266503728268
"212"	"story "	270	0.000516354081205285
"213"	"keep "	269	0.000514441658682303
"214"	"friends "	268	0.00051252923615932
"215"	"everyone "	265	0.000506791968590372
"216"	"god "	263	0.000502967123544407
"217"	"family "	262	0.000501054701021425
"218"	"might "	262	0.000501054701021425
"219"	"you're "	261	0.000499142278498442
"220"	"pretty "	260	0.00049722985597546
"221"	"morning "	259	0.000495317433452477
"222"	"both "	259	0.000495317433452477
"223"	"once "	255	0.000487667743360547
"224"	"school "	255	0.000487667743360547
"225"	"post "	255	0.000487667743360547
"226"	"done "	254	0.000485755320837565
"227"	"lot "	253	0.000483842898314582
"228"	"fun "	253	0.000483842898314582
"229"	"used "	252	0.000481930475791599
"230"	"tell "	250	0.000478105630745634
"231"	"put "	247	0.000472368363176687
"232"	"game "	247	0.000472368363176687
"233"	"that's "	246	0.000470455940653704
"234"	"without "	244	0.000466631095607739
"235"	"everything "	243	0.000464718673084757
"236"	"blog "	241	0.000460893828038792
"237"	"making "	238	0.000455156560469844
"238"	"maybe "	237	0.000453244137946861
"239"	"didn't "	236	0.000451331715423879
"240"	"nice "	236	0.000451331715423879
"241"	"enough "	235	0.000449419292900896
"242"	"took "	231	0.000441769602808966
"243"	"went "	229	0.000437944757763001
"244"	"someone "	229	0.000437944757763001
"245"	"please "	228	0.000436032335240019
"246"	"live "	225	0.000430295067671071
"247"	"house "	224	0.000428382645148088
"248"	"music "	224	0.000428382645148088
"249"	"food "	223	0.000426470222625106
"250"	"try "	222	0.000424557800102123
"251"	"myself "	221	0.000422645377579141
"252"	"yet "	221	0.000422645377579141
"253"	"times "	221	0.000422645377579141
"254"	"end "	219	0.000418820532533176
"255"	"came "	218	0.000416908110010193
"256"	"anything "	217	0.000414995687487211
"257"	"start "	217	0.000414995687487211
"258"	"wait "	215	0.000411170842441246
"259"	"room "	214	0.000409258419918263
"260"	"already "	214	0.000409258419918263
"261"	"t "	212	0.000405433574872298
"262"	"weekend "	212	0.000405433574872298
"263"	"found "	211	0.000403521152349315
"264"	"together "	210	0.000401608729826333
"265"	"call "	209	0.00039969630730335
"266"	"left "	209	0.00039969630730335
"267"	"real "	209	0.00039969630730335
"268"	"must "	208	0.000397783884780368
"269"	"girl "	208	0.000397783884780368
"270"	"bit "	207	0.000395871462257385
"271"	"point "	206	0.000393959039734403
"272"	"set "	203	0.000388221772165455
"273"	"told "	202	0.000386309349642473
"274"	"kids "	201	0.00038439692711949
"275"	"kind "	201	0.00038439692711949
"276"	"th "	201	0.00038439692711949
"277"	"high "	200	0.000382484504596508
"278"	"nothing "	199	0.000380572082073525
"279"	"course "	199	0.000380572082073525
"280"	"person "	199	0.000380572082073525
"281"	"three "	199	0.000380572082073525
"282"	"believe "	199	0.000380572082073525
"283"	"trying "	198	0.000378659659550542
"284"	"friend "	198	0.000378659659550542
"285"	"hard "	196	0.000374834814504577
"286"	"bad "	196	0.000374834814504577
"287"	"soon "	194	0.000371009969458612
"288"	"tomorrow "	193	0.00036909754693563
"289"	"twitter "	193	0.00036909754693563
"290"	"makes "	191	0.000365272701889665
"291"	"between "	191	0.000365272701889665
"292"	"writing "	191	0.000365272701889665
"293"	"idea "	191	0.000365272701889665
"294"	"amazing "	191	0.000365272701889665
"295"	"remember "	190	0.000363360279366682
"296"	"name "	189	0.0003614478568437
"297"	"often "	188	0.000359535434320717
"298"	"started "	188	0.000359535434320717
"299"	"far "	187	0.000357623011797735
"300"	"beautiful "	186	0.000355710589274752
"301"	"top "	185	0.000353798166751769
"302"	"hey "	184	0.000351885744228787
"303"	"heart "	183	0.000349973321705804
"304"	"working "	182	0.000348060899182822
"305"	"reading "	181	0.000346148476659839
"306"	"line "	181	0.000346148476659839
"307"	"hours "	180	0.000344236054136857
"308"	"past "	179	0.000342323631613874
"309"	"talk "	179	0.000342323631613874
